Cars,Construction,Unemployment,Newspapers,Jobs,Inflation,Aviation,Birthday,Business News,Loan,Real estate,elections,Car Loan,Financial crisis,Weddings,budget,revenue,House Loan,Economy News,Travel,Fitness,subsidy,PSB,Interest,current account,Politics,parliament,protest,Economic crisis,stock market,trade,M0,Investment,World News,Crisis,Cinema,Credit,Textile,LSM,Tourism,Agriculture,Cigarette,CPI,government,Manufacturing,deficit,FMCG,Fast Food,Food,USAID,Recession,economic growth,Hotels,taxes,House for sale
15,26,27,45,34,50,19,18,8,10,12,4,16,4,40,32,16,0,0,15,16,4,0,43,62,33,48,2,6,13,22,0,19,42,39,24,9,5,0,18,47,13,15,75,9,53,12,37,49,12,3,40,16,4,4
15,24,28,45,32,43,18,19,9,13,12,2,0,2,42,32,15,0,14,15,15,2,0,36,45,26,29,1,2,9,21,0,18,42,25,22,9,7,0,17,35,10,11,60,9,53,15,25,49,11,2,38,16,4,7
15,25,26,42,34,50,20,22,7,11,12,3,0,2,38,30,19,0,0,14,24,2,0,36,41,27,20,6,2,11,29,0,19,45,19,22,9,7,0,17,45,10,0,70,9,54,8,31,49,9,2,41,16,4,5
15,23,30,55,33,38,23,24,8,10,12,5,0,2,49,50,15,0,0,16,18,2,0,40,49,31,31,3,4,11,21,0,18,44,29,26,9,6,0,17,45,13,0,61,8,75,13,28,53,9,3,34,17,6,6
16,23,28,49,33,30,19,19,8,11,12,11,0,1,37,40,15,0,0,15,20,2,0,39,42,30,36,3,4,10,26,0,17,47,24,27,9,5,0,17,37,9,0,62,9,48,22,28,51,13,3,37,18,5,6
16,22,21,47,31,21,18,19,5,9,12,4,0,0,32,36,12,0,0,15,15,2,0,29,39,23,29,2,0,9,19,0,15,45,17,34,9,4,0,16,29,9,0,53,7,50,12,24,41,11,0,28,15,4,5
18,26,24,39,36,25,24,16,8,11,15,2,0,2,56,42,13,0,0,16,18,1,0,41,41,29,31,1,3,12,23,0,17,39,29,31,10,6,0,18,39,7,0,60,9,43,25,26,45,12,2,29,17,5,8
18,29,37,45,35,36,26,18,7,10,14,2,0,3,58,51,16,0,0,17,19,1,0,46,70,31,35,2,5,12,27,0,20,38,30,26,10,6,0,20,37,8,0,70,9,73,30,21,57,15,3,40,18,7,7
17,27,26,43,36,33,22,19,6,10,14,3,0,2,70,40,17,0,0,17,23,1,0,41,60,28,44,2,3,12,24,0,18,44,27,25,11,6,0,17,36,12,0,68,9,66,24,29,51,11,3,32,19,7,7
19,26,23,41,35,45,20,22,6,11,14,2,0,2,61,34,14,0,0,15,25,1,0,43,44,28,35,2,3,13,28,0,19,41,24,29,11,5,0,17,41,11,19,76,9,65,12,34,49,10,2,36,19,6,8
17,24,24,43,34,34,18,21,6,10,11,3,0,2,44,28,12,0,14,16,18,1,0,39,54,27,26,3,3,9,22,0,18,39,30,34,10,4,0,17,41,9,0,60,8,64,15,24,49,8,3,34,17,5,6
18,23,27,44,32,42,18,23,6,10,12,2,13,2,52,28,12,0,0,14,17,1,0,38,61,27,30,4,2,13,23,0,16,47,25,37,11,5,100,16,45,12,0,62,9,75,19,28,48,9,2,33,17,3,6
17,21,18,40,32,29,18,19,7,11,12,1,14,2,50,23,11,0,17,17,17,1,0,32,40,20,30,2,3,8,19,0,15,41,40,33,11,5,0,18,32,12,0,53,8,42,17,29,43,11,1,24,19,3,7
