Cars,Construction,Unemployment,Newspapers,Jobs,Inflation,Aviation,Birthday,Business News,Loan,Real estate,elections,Car Loan,Weddings,budget,revenue,House Loan,Economy News,Travel,Fitness,subsidy,Interest,mehngai,Politics,parliament,protest,Economic crisis,stock market,trade,M0,Investment,World News,Crisis,Cinema,Credit,Textile,LSM,Tourism,Agriculture,Cigarette,CPI,government,Manufacturing,deficit,FMCG,Fast Food,Food,USAID,Recession,economic growth,Hotels,taxes,House for sale
0,22,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
0,17,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,33,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
0,20,0,53,0,0,0,0,0,0,0,36,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
0,17,0,0,49,0,0,0,0,0,0,0,0,0,45,0,0,0,37,0,0,0,0,0,0,0,0,0,43,0,0,0,0,41,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,12,0,51,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,26,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
0,14,0,0,41,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
0,20,0,51,0,0,0,0,0,0,0,0,0,0,49,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,0,51,53,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,17,0,0
0,17,0,47,0,0,0,0,0,0,0,0,0,0,36,0,0,0,33,0,0,0,0,0,0,0,0,0,30,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
0,16,0,67,65,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,40,0,0,0,0,0,0,100,0,0,0,0,77,0,0,0,27,0,0
0,12,0,40,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
0,13,0,60,38,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,27,0,0,0,0,26,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
0,17,0,64,30,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,100,0,0,0,0,0,0,0,0,0,0,0,21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,17,0,46,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
0,10,0,58,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
0,21,0,100,51,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
0,21,0,64,37,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
19,15,0,78,33,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
0,14,0,60,54,0,0,0,0,0,0,0,0,0,37,0,0,0,31,0,0,0,0,0,0,0,0,0,24,0,0,0,0,23,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
21,13,0,67,47,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,23,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,17,0,0
16,18,0,80,31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
16,16,0,44,55,0,0,0,0,0,0,0,0,0,28,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,0,0,0,40,0,0,0,0,0,0,0,65,0,0,0,18,0,0
16,14,0,51,35,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,15,0,0
20,8,0,52,42,0,53,0,0,0,0,22,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,12,0,0
23,12,0,49,0,0,0,0,0,0,0,90,0,0,48,0,0,0,32,0,0,0,0,0,0,0,0,0,23,0,0,0,0,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,52,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
12,12,0,26,20,0,0,0,0,0,0,6,0,0,21,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,52,21,19,0,0,0,26,0,0,22,0,0,0,0,24,0,0,0,10,0,0
8,11,0,36,18,0,0,10,0,0,0,8,0,0,28,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,24,0,0,0,0,0,0,0,29,0,0,0,12,0,0
0,9,0,19,10,0,0,0,0,0,0,8,0,0,18,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,100,24,21,0,0,0,24,0,4,0,0,0,0,0,0,0,0,0,9,0,0
12,10,0,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
12,8,0,26,29,0,0,0,0,0,0,0,0,0,20,0,0,0,13,0,0,0,0,0,0,0,0,0,12,0,0,0,0,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
11,11,0,0,18,0,0,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,10,0,0,18,24,0,0,0,27,0,0,0,0,0,0,0,24,0,0,0,13,0,0
15,12,0,23,27,0,0,0,0,0,0,0,0,0,24,0,0,0,18,0,0,0,0,0,0,0,0,0,11,0,0,0,0,23,22,0,0,0,20,24,0,0,0,0,0,0,22,100,0,0,11,0,0
15,11,0,11,32,0,0,0,0,0,0,4,0,0,26,0,0,0,9,20,0,0,0,0,0,0,0,0,9,0,0,0,0,23,24,0,0,0,0,0,0,0,4,0,0,0,22,0,0,0,9,0,0
10,14,0,24,26,0,0,7,0,0,0,4,0,0,26,0,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0,0,0,27,22,0,0,0,27,0,0,0,0,0,0,0,27,0,0,0,9,0,0
12,12,0,25,100,0,0,9,0,0,0,5,0,0,20,0,0,0,9,0,0,28,0,0,0,0,0,0,9,0,0,0,0,20,21,0,0,0,13,20,3,0,0,0,0,0,35,0,0,0,14,0,0
11,11,0,26,36,0,22,0,0,0,0,9,0,0,21,0,0,0,16,16,0,0,0,0,0,0,0,0,11,0,0,0,0,15,26,0,0,0,15,0,17,0,0,0,0,0,28,0,0,0,8,0,0
13,11,0,20,23,0,20,8,0,0,0,16,0,0,29,0,0,0,15,0,0,0,0,0,0,0,0,0,12,0,6,0,41,23,22,0,0,0,23,0,99,0,0,0,0,0,25,0,0,0,6,0,0
9,16,0,34,31,0,15,10,0,0,0,4,0,0,31,0,0,0,13,0,0,0,0,0,0,0,0,0,10,0,0,0,0,22,18,0,0,0,23,21,21,0,0,0,0,0,20,0,0,0,5,0,0
10,16,0,28,27,12,0,0,0,0,0,8,0,0,19,0,0,0,11,18,0,0,0,0,0,0,0,0,7,0,7,0,0,19,13,0,0,0,38,28,25,0,3,0,0,0,26,81,0,0,7,100,0
11,16,0,25,29,0,0,10,0,0,0,8,0,0,30,0,0,0,15,0,0,0,0,0,0,0,0,0,10,0,6,0,0,18,21,0,0,0,22,24,19,0,0,0,0,0,32,0,0,0,11,0,0
9,15,0,21,22,0,19,10,0,0,0,11,0,0,24,0,0,0,9,0,0,0,0,0,0,0,0,0,14,0,6,0,0,15,20,100,0,0,28,24,17,0,0,0,0,0,22,0,0,0,10,0,0
7,12,0,8,29,0,15,6,0,0,0,10,0,0,25,0,0,0,9,0,0,0,0,0,0,0,0,0,12,0,4,0,0,15,17,0,0,54,26,15,24,15,0,0,0,0,24,0,0,0,8,0,0
9,14,0,23,23,0,11,7,0,0,0,3,0,0,24,0,0,0,9,0,0,0,0,0,0,0,100,0,10,0,5,0,0,18,15,0,0,0,27,14,30,0,0,0,0,0,24,0,0,0,9,0,0
11,15,0,20,30,0,0,10,0,0,0,3,0,0,29,0,0,0,13,0,0,0,0,0,0,0,0,0,12,0,8,0,0,25,22,0,0,0,26,19,15,0,0,0,0,4,32,0,0,0,10,0,0
11,15,100,24,29,0,0,12,0,0,0,0,0,0,21,0,0,0,12,0,0,0,0,0,0,0,0,0,11,0,0,0,0,18,24,0,0,0,25,19,12,16,0,0,0,0,36,0,0,0,11,0,0
10,20,0,15,31,0,0,16,0,0,0,2,0,0,30,0,0,0,14,0,0,0,0,0,0,0,0,0,10,0,6,0,0,25,25,0,0,0,23,17,15,0,0,0,0,0,28,0,0,0,9,0,0
8,17,0,19,33,0,0,20,0,0,0,3,0,0,22,0,0,0,15,0,0,0,0,0,0,0,0,0,16,0,5,0,0,17,25,0,0,0,26,18,35,0,0,0,0,0,35,0,0,0,9,0,0
6,17,0,13,28,0,18,14,0,0,0,11,0,0,22,0,0,0,12,11,0,0,0,0,0,0,0,0,9,0,6,0,32,18,23,0,0,0,22,26,25,13,0,0,0,0,31,0,0,0,10,0,0
7,18,0,10,20,0,0,14,0,0,0,7,0,0,26,0,0,0,11,13,0,18,0,0,0,0,0,0,9,0,7,0,0,23,25,0,0,0,17,19,18,0,0,0,0,0,23,0,0,0,6,0,0
9,16,0,16,22,9,18,11,0,0,0,4,0,0,23,0,0,0,8,15,0,0,0,0,0,0,0,0,12,0,0,0,0,18,23,0,0,0,16,15,11,0,0,0,0,0,24,0,0,0,9,0,0
7,16,0,15,26,0,0,8,0,0,0,0,0,100,31,19,0,0,15,15,0,0,0,0,0,0,0,0,7,0,0,0,0,21,22,0,0,0,37,16,100,0,0,0,0,0,31,0,0,0,9,0,0
11,19,0,17,26,10,0,7,0,50,0,5,0,0,29,0,0,0,8,11,0,22,0,0,0,0,0,0,11,0,5,0,0,20,22,79,0,0,28,19,39,0,0,0,0,0,30,71,0,0,9,0,0
11,19,0,13,33,0,16,14,0,0,0,43,0,0,29,0,0,0,10,0,0,15,0,100,0,0,0,0,10,0,5,0,0,19,20,0,0,0,27,23,16,0,0,0,0,0,28,63,0,0,11,0,0
13,17,0,13,24,0,10,12,0,0,4,7,0,0,27,0,0,0,10,0,0,15,0,0,0,0,0,0,8,0,4,0,0,19,20,0,0,0,17,28,18,0,0,0,0,0,28,70,0,0,9,0,0
11,17,0,11,24,0,9,14,0,0,0,2,0,0,27,0,0,0,8,10,0,0,0,0,0,0,0,0,10,0,0,0,0,21,23,0,0,0,20,0,35,0,0,0,0,3,41,0,0,0,9,0,0
13,17,0,7,30,0,11,10,0,0,0,5,0,0,19,0,0,0,11,13,0,17,0,0,0,0,0,0,9,0,6,0,0,22,22,51,0,0,25,18,16,0,0,0,0,0,36,55,0,0,11,0,0
9,31,0,14,26,0,11,10,0,0,0,2,0,0,25,0,0,0,7,17,0,15,0,0,0,0,0,0,6,0,6,0,0,20,24,0,0,0,18,14,12,0,0,0,0,0,25,60,0,0,9,0,0
12,18,0,9,30,0,10,7,100,0,0,2,0,0,20,0,0,0,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,19,21,0,0,0,20,15,13,15,0,0,0,0,26,0,0,0,10,0,0
9,16,0,16,28,0,8,11,0,0,0,2,0,0,26,0,0,0,7,8,0,0,0,0,0,0,0,0,6,0,4,0,0,17,20,0,0,0,21,31,66,0,2,0,0,0,22,48,0,0,10,0,0
12,13,0,8,23,0,11,8,0,0,0,0,0,0,32,0,0,0,6,15,0,0,0,0,0,0,0,0,7,0,3,100,0,17,19,0,0,0,30,23,22,9,0,0,0,3,23,43,0,0,6,0,0
9,15,0,8,22,0,8,9,0,0,0,1,0,0,22,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,3,0,0,17,18,0,0,0,27,22,18,0,0,0,0,0,23,0,0,0,7,0,0
12,16,0,14,22,6,6,7,0,0,0,0,0,0,25,13,0,0,5,9,0,17,0,0,0,0,0,0,8,0,0,0,0,13,18,0,0,82,23,32,16,0,0,0,0,0,32,0,0,0,5,75,0
10,15,0,7,20,6,7,9,0,0,0,0,0,0,25,0,0,0,7,7,0,12,0,0,0,0,0,0,7,0,0,0,0,17,20,0,0,38,27,19,13,0,0,0,0,0,30,0,0,0,7,0,0
10,18,0,11,19,0,8,10,0,0,3,3,0,0,25,0,0,0,9,9,0,12,0,0,0,0,0,0,9,0,3,0,0,15,17,0,0,33,22,18,52,10,0,0,0,0,24,0,0,0,7,39,0
